,country,Year,Life expectancy ,Schooling,Alcohol, BMI 
743,Denmark,2009,78.9,16.8,10.08,56.6
742,Denmark,2010,79.2,16.8,10.28,57.0
768,Djibouti,2000,57.4,2.9,1.34,28.2
767,Djibouti,2001,57.7,2.9,0.95,28.6
766,Djibouti,2002,57.9,3.3,1.03,29.0
765,Djibouti,2003,58.0,3.5,1.02,29.4
764,Djibouti,2004,58.1,3.7,1.18,29.8
763,Djibouti,2005,58.6,4.0,1.23,3.2
762,Djibouti,2006,59.1,4.3,1.02,3.6
761,Djibouti,2007,59.8,4.5,0.45,3.9
760,Djibouti,2008,62.0,5.0,0.49,31.3
759,Djibouti,2009,69.0,5.3,0.49,31.7
758,Djibouti,2010,61.3,5.5,0.44,32.2
785,Dominican Republic,2000,72.0,12.2,6.58,43.1
784,Dominican Republic,2001,71.2,12.3,6.13,44.1
783,Dominican Republic,2002,71.4,12.3,6.43,45.1
782,Dominican Republic,2003,73.0,12.4,6.32,46.1
781,Dominican Republic,2004,69.3,12.5,5.16,47.2
780,Dominican Republic,2005,69.7,12.6,5.71,48.2
779,Dominican Republic,2006,72.3,12.6,6.2,49.3
778,Dominican Republic,2007,72.9,12.7,6.05,5.4
777,Dominican Republic,2008,73.3,12.8,6.12,51.5
776,Dominican Republic,2009,73.6,12.9,6.05,52.6
775,Dominican Republic,2010,72.7,12.9,6.02,53.6
801,Ecuador,2000,72.8,12.4,3.99,43.6
800,Ecuador,2001,73.4,12.4,4.13,44.3
799,Ecuador,2002,73.6,12.5,3.88,45.1
798,Ecuador,2003,74.4,12.6,3.69,45.8
797,Ecuador,2004,74.4,12.7,3.65,46.5
796,Ecuador,2005,74.2,12.8,3.54,47.2
795,Ecuador,2006,74.4,12.8,3.52,47.9
794,Ecuador,2007,74.7,12.9,3.63,48.6
793,Ecuador,2008,74.6,13.0,3.76,49.3
792,Ecuador,2009,75.1,13.1,3.87,5.0
791,Ecuador,2010,75.0,13.1,3.95,5.7
817,Egypt,2000,68.8,11.0,0.14,5.7
816,Egypt,2001,68.6,11.1,0.14,51.2
815,Egypt,2002,68.7,11.2,0.15,51.8
814,Egypt,2003,68.6,11.3,0.15,52.3
813,Egypt,2004,69.0,11.2,0.16,52.9
812,Egypt,2005,69.4,11.4,0.16,53.5
811,Egypt,2006,69.5,11.5,0.18,54.2
810,Egypt,2007,69.7,11.7,0.21,54.8
809,Egypt,2008,69.8,11.9,0.24,55.5
808,Egypt,2009,69.9,12.0,0.21,56.2
807,Egypt,2010,70.0,12.2,0.22,57.0
833,El Salvador,2000,69.0,11.3,2.79,45.3
832,El Salvador,2001,68.9,11.6,2.88,46.2
831,El Salvador,2002,73.0,11.8,2.97,47.0
830,El Salvador,2003,69.9,12.0,3.1,47.8
829,El Salvador,2004,70.0,12.4,2.9,48.6
828,El Salvador,2005,71.0,12.7,2.77,49.4
827,El Salvador,2006,75.0,12.9,2.77,5.1
826,El Salvador,2007,71.2,12.9,2.83,5.8
825,El Salvador,2008,71.7,13.4,2.68,51.4
824,El Salvador,2009,71.4,12.8,2.55,52.1
823,El Salvador,2010,72.0,12.9,2.36,52.8
849,Equatorial Guinea,2000,52.7,0.0,4.46,18.3
848,Equatorial Guinea,2001,53.1,8.0,5.07,18.7
847,Equatorial Guinea,2002,53.5,8.2,6.01,19.1
846,Equatorial Guinea,2003,53.8,8.4,7.13,19.5
845,Equatorial Guinea,2004,54.1,8.5,6.28,19.8
844,Equatorial Guinea,2005,54.4,8.7,7.19,2.2
843,Equatorial Guinea,2006,54.8,9.0,7.28,2.5
842,Equatorial Guinea,2007,55.0,9.0,6.86,2.9
841,Equatorial Guinea,2008,55.4,9.1,8.34,21.3
840,Equatorial Guinea,2009,55.7,9.1,7.97,21.7
839,Equatorial Guinea,2010,56.1,9.2,9.93,22.1
865,Eritrea,2000,45.3,3.9,0.83,12.6
864,Eritrea,2001,58.1,4.3,0.61,12.8
863,Eritrea,2002,58.5,4.4,0.83,13.1
862,Eritrea,2003,58.8,4.7,0.56,13.3
861,Eritrea,2004,59.1,5.0,0.64,13.6
860,Eritrea,2005,59.4,5.4,1.07,13.9
859,Eritrea,2006,59.7,5.3,0.97,14.3
858,Eritrea,2007,62.0,5.3,1.23,14.7
857,Eritrea,2008,67.0,5.2,0.49,15.1
856,Eritrea,2009,61.4,5.2,0.63,15.5
855,Eritrea,2010,62.1,5.1,0.61,16.0
881,Estonia,2000,78.0,14.4,0.01,54.0
880,Estonia,2001,78.0,15.0,0.01,54.3
879,Estonia,2002,71.2,15.4,11.48,54.6
878,Estonia,2003,71.9,15.6,11.64,54.9
877,Estonia,2004,72.3,15.7,15.07,55.2
876,Estonia,2005,72.8,15.9,15.52,55.5
875,Estonia,2006,73.0,16.1,16.58,55.9
874,Estonia,2007,73.0,16.1,17.87,56.3
873,Estonia,2008,74.2,16.1,16.99,56.7
872,Estonia,2009,74.9,16.1,15.04,57.1
871,Estonia,2010,75.6,16.2,14.97,57.6
897,Ethiopia,2000,51.2,3.9,0.88,12.3
896,Ethiopia,2001,52.5,4.3,0.85,12.6
895,Ethiopia,2002,53.2,4.9,0.8,12.9
894,Ethiopia,2003,54.0,5.2,0.79,13.2
893,Ethiopia,2004,55.0,5.4,0.86,13.5
892,Ethiopia,2005,56.0,5.8,0.99,13.8
891,Ethiopia,2006,57.2,6.6,1.22,14.2
890,Ethiopia,2007,58.5,7.1,1.06,14.5
889,Ethiopia,2008,59.8,7.6,1.13,14.9
888,Ethiopia,2009,68.0,8.1,1.17,15.3
887,Ethiopia,2010,61.8,8.1,1.34,15.6
913,Fiji,2000,67.7,13.1,2.05,5.2
912,Fiji,2001,67.8,13.2,1.93,51.2
911,Fiji,2002,67.9,13.3,1.85,52.2
910,Fiji,2003,68.0,13.3,1.76,53.2
909,Fiji,2004,68.1,13.4,1.63,54.2
908,Fiji,2005,68.3,13.9,2.02,55.1
907,Fiji,2006,68.5,14.0,2.06,55.9
906,Fiji,2007,68.6,14.2,2.09,56.6
905,Fiji,2008,68.7,14.3,1.95,57.3
904,Fiji,2009,68.9,14.5,2.31,58.0
903,Fiji,2010,69.1,14.6,2.25,58.7
929,Finland,2000,77.5,17.3,8.59,55.5
928,Finland,2001,78.0,17.7,8.94,56.1
927,Finland,2002,78.1,18.0,9.25,56.6
926,Finland,2003,78.4,18.1,9.31,57.1
925,Finland,2004,78.7,18.3,9.89,57.6
924,Finland,2005,78.9,17.1,9.95,58.1
923,Finland,2006,79.2,17.2,10.15,58.6
922,Finland,2007,79.3,17.2,10.45,59.0
921,Finland,2008,79.6,17.1,10.26,59.4
920,Finland,2009,79.7,17.0,9.96,59.8
919,Finland,2010,79.9,16.8,9.72,6.2
945,France,2000,78.8,15.7,13.63,54.6
944,France,2001,79.0,15.6,13.89,55.2
943,France,2002,79.2,15.5,13.78,55.8
942,France,2003,79.3,15.4,13.49,56.4
941,France,2004,82.0,15.5,13.18,57.0
940,France,2005,81.0,15.5,12.2,57.5
939,France,2006,86.0,16.1,12.4,58.0
938,France,2007,89.0,16.1,12.2,58.6
937,France,2008,89.0,16.1,11.9,59.1
936,France,2009,81.1,16.0,11.8,59.6
935,France,2010,81.3,16.0,11.7,6.1
961,Gabon,2000,61.0,12.2,8.87,28.1
960,Gabon,2001,59.8,12.3,9.29,28.7
959,Gabon,2002,59.7,12.3,8.34,29.2
958,Gabon,2003,59.7,12.3,6.47,29.8
957,Gabon,2004,59.7,12.3,8.13,3.3
956,Gabon,2005,65.0,12.4,7.72,3.8
955,Gabon,2006,61.4,12.4,8.01,31.4
954,Gabon,2007,61.6,12.4,9.02,31.9
953,Gabon,2008,61.6,12.4,8.75,32.4
952,Gabon,2009,61.7,12.4,8.64,33.0
951,Gabon,2010,62.3,12.5,8.85,33.5
977,Gambia,2000,55.9,6.5,2.18,18.0
976,Gambia,2001,56.3,6.8,2.25,18.5
975,Gambia,2002,56.6,7.0,2.08,19.1
974,Gambia,2003,57.0,7.3,2.47,19.7
973,Gambia,2004,57.3,7.6,2.51,2.3
972,Gambia,2005,57.7,7.8,2.26,2.9
971,Gambia,2006,58.2,8.1,2.93,21.5
970,Gambia,2007,58.5,8.4,2.64,22.2
969,Gambia,2008,58.7,8.6,2.79,22.8
968,Gambia,2009,59.0,8.9,2.99,23.5
967,Gambia,2010,59.3,8.8,3.48,24.1
993,Georgia,2000,71.8,11.4,3.28,46.0
992,Georgia,2001,73.0,11.7,2.76,46.5
991,Georgia,2002,71.7,11.8,2.72,47.0
990,Georgia,2003,72.7,11.8,3.36,47.5
989,Georgia,2004,72.3,12.0,3.74,48.1
988,Georgia,2005,73.9,12.2,4.7,48.6
987,Georgia,2006,73.9,12.6,6.18,49.2
986,Georgia,2007,74.4,12.5,8.65,49.9
985,Georgia,2008,73.9,13.1,7.17,5.5
984,Georgia,2009,73.2,12.8,6.66,51.3
983,Georgia,2010,73.8,13.3,7.24,52.0
1009,Germany,2000,78.0,16.2,12.91,55.1
1008,Germany,2001,78.3,16.2,12.46,55.6
1007,Germany,2002,78.4,16.3,12.25,56.1
1006,Germany,2003,78.5,16.3,11.92,56.6
1005,Germany,2004,79.1,16.4,11.83,57.1
1004,Germany,2005,79.2,16.4,11.67,57.6
1003,Germany,2006,79.6,16.5,11.76,58.0
1002,Germany,2007,79.8,16.6,11.5,58.5
1001,Germany,2008,79.9,16.6,11.36,59.0
1000,Germany,2009,80.0,16.7,11.22,59.5
999,Germany,2010,81.0,16.7,11.2,59.9
1025,Ghana,2000,57.2,7.7,1.6,19.5
1024,Ghana,2001,57.4,8.0,1.49,2.1
1023,Ghana,2002,57.6,7.6,1.6,2.7
1022,Ghana,2003,57.9,7.9,1.53,21.2
1021,Ghana,2004,58.3,7.7,1.46,21.8
1020,Ghana,2005,58.9,8.1,1.5,22.4
1019,Ghana,2006,59.4,8.7,1.7,23.0
1018,Ghana,2007,59.9,9.1,1.25,23.6
1017,Ghana,2008,63.0,9.8,1.78,24.2
1016,Ghana,2009,66.0,10.4,1.76,24.9
1015,Ghana,2010,69.0,10.5,1.69,25.5
1041,Greece,2000,78.2,13.9,8.48,57.4
1040,Greece,2001,78.7,14.2,8.62,58.0
1039,Greece,2002,79.0,14.6,8.09,58.6
1038,Greece,2003,79.1,15.2,9.46,59.2
1037,Greece,2004,79.2,15.3,9.56,59.9
1036,Greece,2005,79.3,15.6,9.95,6.5
1035,Greece,2006,79.7,16.3,9.42,61.2
1034,Greece,2007,79.4,16.4,9.67,61.8
1033,Greece,2008,79.9,15.9,9.51,62.4
1032,Greece,2009,80.0,16.2,9.08,63.1
1031,Greece,2010,83.0,16.4,9.0,63.7
1057,Grenada,2000,74.0,14.1,9.4,37.7
1056,Grenada,2001,77.0,14.3,9.61,38.2
1055,Grenada,2002,79.0,14.4,10.71,38.8
1054,Grenada,2003,71.1,14.6,9.75,39.4
1053,Grenada,2004,73.0,14.8,8.43,39.9
1052,Grenada,2005,71.5,14.9,8.8,4.5
1051,Grenada,2006,71.7,15.1,9.06,41.1
1050,Grenada,2007,71.9,15.3,9.06,41.8
1049,Grenada,2008,72.1,15.4,8.92,42.4
1048,Grenada,2009,72.4,15.6,8.42,43.1
1047,Grenada,2010,72.6,15.8,7.91,43.9
1073,Guatemala,2000,67.7,8.2,2.63,4.4
1072,Guatemala,2001,68.4,8.5,2.53,41.1
1071,Guatemala,2002,69.3,8.8,2.41,41.7
1070,Guatemala,2003,69.4,9.0,2.45,42.4
1069,Guatemala,2004,69.6,9.3,2.4,43.1
1068,Guatemala,2005,69.2,9.6,2.35,43.8
1067,Guatemala,2006,69.7,9.8,2.38,44.5
1066,Guatemala,2007,75.0,10.1,2.4,45.2
1065,Guatemala,2008,79.0,10.4,2.21,45.9
1064,Guatemala,2009,76.0,10.4,2.14,46.5
1063,Guatemala,2010,77.0,10.5,2.14,47.2
1089,Guinea,2000,52.5,4.8,0.17,16.6
1088,Guinea,2001,52.5,5.1,0.17,16.9
1087,Guinea,2002,52.9,5.5,0.21,17.3
1086,Guinea,2003,53.3,5.9,0.18,17.7
1085,Guinea,2004,54.0,5.1,0.34,18.1
1084,Guinea,2005,54.7,6.6,0.21,18.5
1083,Guinea,2006,55.6,7.1,0.16,19.0
1082,Guinea,2007,56.4,7.6,0.19,19.4
1081,Guinea,2008,56.8,7.9,0.21,19.8
1080,Guinea,2009,57.3,8.1,0.18,2.3
1079,Guinea,2010,57.8,8.3,0.2,2.8
1105,Guinea-Bissau,2000,52.1,6.4,2.84,17.4
1104,Guinea-Bissau,2001,52.5,6.7,2.55,17.9
1103,Guinea-Bissau,2002,52.8,7.1,2.47,18.5
1102,Guinea-Bissau,2003,53.0,7.4,2.16,19.0
1101,Guinea-Bissau,2004,53.5,7.7,2.58,19.6
1100,Guinea-Bissau,2005,53.9,8.0,3.1,2.1
1099,Guinea-Bissau,2006,54.4,8.3,3.22,2.7
1098,Guinea-Bissau,2007,55.0,8.8,2.98,21.3
1097,Guinea-Bissau,2008,55.6,8.8,2.64,21.9
1096,Guinea-Bissau,2009,56.3,8.9,2.55,22.5
1095,Guinea-Bissau,2010,56.7,8.9,3.21,23.1
1121,Guyana,2000,65.4,10.9,6.63,35.7
1120,Guyana,2001,65.4,10.9,6.71,36.4
1119,Guyana,2002,65.3,11.0,7.73,37.1
1118,Guyana,2003,65.3,11.1,7.93,37.8
1117,Guyana,2004,65.1,11.2,7.84,38.4
1116,Guyana,2005,65.0,11.4,7.35,39.0
1115,Guyana,2006,65.2,11.7,7.04,39.6
1114,Guyana,2007,65.7,11.2,7.2,4.3
1113,Guyana,2008,66.3,10.7,7.32,4.9
1112,Guyana,2009,66.1,10.5,7.49,41.6
1111,Guyana,2010,65.9,10.2,7.52,42.4
1137,Haiti,2000,58.6,7.8,4.79,34.0
1136,Haiti,2001,58.9,7.9,6.22,34.8
1135,Haiti,2002,59.3,8.0,6.1,35.6
1134,Haiti,2003,59.7,8.1,6.64,36.5
1133,Haiti,2004,58.7,8.1,6.1,37.5
1132,Haiti,2005,65.0,8.2,5.57,38.5
1131,Haiti,2006,61.1,8.3,6.18,39.6
1130,Haiti,2007,61.8,8.4,6.08,4.7
1129,Haiti,2008,62.1,8.4,5.95,41.8
1128,Haiti,2009,62.5,8.5,5.85,43.0
1127,Haiti,2010,36.3,8.6,5.76,44.2
1153,Honduras,2000,71.0,9.8,2.61,38.8
1152,Honduras,2001,71.3,9.9,2.74,39.6
1151,Honduras,2002,71.6,10.1,3.09,4.4
1150,Honduras,2003,71.9,10.3,3.04,41.2
1149,Honduras,2004,72.2,10.4,3.02,42.0
1148,Honduras,2005,72.5,10.6,3.23,42.8
1147,Honduras,2006,72.8,10.8,3.23,43.5
1146,Honduras,2007,73.0,10.9,3.16,44.3
1145,Honduras,2008,73.2,11.1,3.14,45.1
1144,Honduras,2009,73.4,11.3,3.08,45.9
1143,Honduras,2010,73.6,11.5,3.1,46.8
1169,Hungary,2000,71.7,13.9,12.22,56.1
1168,Hungary,2001,72.3,14.2,13.18,56.6
1167,Hungary,2002,72.5,14.6,13.29,57.1
1166,Hungary,2003,72.5,14.9,13.24,57.6
1165,Hungary,2004,72.9,15.3,13.28,58.2
1164,Hungary,2005,72.9,15.0,12.94,58.8
1163,Hungary,2006,73.4,15.2,13.16,59.3
1162,Hungary,2007,73.5,15.3,12.55,59.9
1161,Hungary,2008,74.1,15.3,11.64,6.5
1160,Hungary,2009,74.2,15.3,11.46,61.1
1159,Hungary,2010,74.5,15.3,10.78,61.7
1185,Iceland,2000,79.7,16.8,6.17,54.2
1184,Iceland,2001,80.0,17.1,6.37,54.8
1183,Iceland,2002,84.0,17.2,6.61,55.4
1182,Iceland,2003,87.0,17.6,6.61,55.9
1181,Iceland,2004,88.0,18.3,6.79,56.5
1180,Iceland,2005,81.0,17.9,7.05,56.9
1179,Iceland,2006,81.1,18.1,7.2,57.4
1178,Iceland,2007,81.3,18.2,7.53,57.8
1177,Iceland,2008,81.4,18.2,8.49,58.1
1176,Iceland,2009,81.6,18.4,10.22,58.5
1175,Iceland,2010,81.8,18.4,8.25,58.9
1201,India,2000,62.5,8.3,0.93,11.4
1200,India,2001,62.9,8.3,1.0,11.8
1199,India,2002,63.3,8.4,1.1,12.2
1198,India,2003,63.7,8.6,1.19,12.6
1197,India,2004,64.0,9.2,1.2,13.0
1196,India,2005,64.4,9.4,1.27,13.5
1195,India,2006,64.8,9.7,1.37,13.9
1194,India,2007,65.2,9.9,1.59,14.4
1193,India,2008,65.5,10.2,1.93,14.9
1192,India,2009,66.0,10.5,2.5,15.4
1191,India,2010,66.4,10.4,2.77,15.9
1217,Indonesia,2000,66.3,10.7,0.06,15.4
1216,Indonesia,2001,66.5,10.6,0.06,16.0
1215,Indonesia,2002,66.7,10.6,0.05,16.7
1214,Indonesia,2003,66.9,10.8,0.05,17.5
1213,Indonesia,2004,65.3,11.0,0.06,18.2
1212,Indonesia,2005,67.2,11.1,0.06,19.0
1211,Indonesia,2006,67.3,10.9,0.06,19.7
1210,Indonesia,2007,67.5,11.0,0.06,2.5
1209,Indonesia,2008,67.7,11.7,0.07,21.3
1208,Indonesia,2009,67.9,11.7,0.08,22.1
1207,Indonesia,2010,68.1,12.1,0.08,22.9
1233,Iran,2000,73.0,11.6,0.01,44.9
1232,Iran,2001,78.0,11.6,0.01,45.5
1231,Iran,2002,71.2,11.9,0.01,46.2
1230,Iran,2003,75.0,11.8,0.01,46.9
1229,Iran,2004,71.8,11.8,0.01,47.6
1228,Iran,2005,72.0,11.4,0.01,48.5
1227,Iran,2006,72.2,11.4,0.02,49.4
1226,Iran,2007,72.4,11.8,0.02,5.4
1225,Iran,2008,72.7,12.1,0.02,51.4
1224,Iran,2009,73.3,12.8,0.03,52.5
1223,Iran,2010,74.1,12.9,0.03,53.6
1249,Iraq,2000,70.0,8.6,0.2,49.5
1248,Iraq,2001,72.0,8.7,0.17,5.1
1247,Iraq,2002,74.0,9.1,0.15,5.6
1246,Iraq,2003,66.5,9.4,0.07,51.3
1245,Iraq,2004,67.2,9.8,0.32,51.9
1244,Iraq,2005,66.8,10.1,0.18,52.5
1243,Iraq,2006,64.7,10.2,0.03,53.2
1242,Iraq,2007,65.9,10.2,0.14,53.8
1241,Iraq,2008,69.3,10.3,0.17,54.5
1240,Iraq,2009,74.0,10.3,0.2,55.2
1239,Iraq,2010,76.0,10.4,0.19,55.8
1265,Ireland,2000,76.4,16.2,14.07,51.5
1264,Ireland,2001,77.0,16.4,14.27,52.2
1263,Ireland,2002,77.4,16.5,14.17,52.9
1262,Ireland,2003,78.0,16.8,13.24,53.6
1261,Ireland,2004,78.3,17.1,13.32,54.4
1260,Ireland,2005,78.7,17.5,13.31,55.1
1259,Ireland,2006,79.0,17.6,13.44,55.8
1258,Ireland,2007,79.5,17.6,13.59,56.6
1257,Ireland,2008,79.8,17.9,12.66,57.4
1256,Ireland,2009,79.7,17.9,11.41,58.2
1255,Ireland,2010,86.0,18.2,11.88,58.9
1281,Israel,2000,78.9,15.2,2.53,58.3
1280,Israel,2001,79.3,15.1,2.53,58.7
1279,Israel,2002,79.3,15.3,2.47,59.2
1278,Israel,2003,79.7,16.0,2.32,59.6
1277,Israel,2004,81.0,15.9,2.23,6.1
1276,Israel,2005,80.0,15.8,2.41,6.6
1275,Israel,2006,84.0,15.7,2.23,61.1
1274,Israel,2007,84.0,15.7,2.33,61.6
1273,Israel,2008,81.0,15.8,2.47,62.1
1272,Israel,2009,81.5,15.6,2.55,62.6
1271,Israel,2010,81.7,15.7,2.63,63.0
1297,Italy,2000,79.4,14.8,9.78,55.0
1296,Italy,2001,79.8,14.9,9.69,55.7
1295,Italy,2002,80.0,15.2,9.25,56.4
1294,Italy,2003,79.9,15.4,9.3,57.0
1293,Italy,2004,89.0,15.6,8.98,57.6
1292,Italy,2005,88.0,15.8,8.65,58.2
1291,Italy,2006,81.2,16.0,8.44,58.8
1290,Italy,2007,81.3,16.1,8.37,59.4
1289,Italy,2008,81.5,16.3,7.96,59.9
1288,Italy,2009,81.6,16.3,7.25,6.5
1287,Italy,2010,81.8,16.4,6.95,61.0
1313,Jamaica,2000,72.6,11.4,3.46,41.6
1312,Jamaica,2001,72.7,10.9,3.89,42.5
1311,Jamaica,2002,73.0,11.7,3.76,43.5
1310,Jamaica,2003,73.1,11.9,3.48,44.5
1309,Jamaica,2004,73.3,11.1,3.67,45.4
1308,Jamaica,2005,73.5,12.4,3.59,46.3
1307,Jamaica,2006,74.0,12.5,3.63,47.2
1306,Jamaica,2007,74.2,12.5,3.64,48.1
1305,Jamaica,2008,74.5,12.6,3.51,48.9
1304,Jamaica,2009,74.7,12.7,3.33,49.7
1303,Jamaica,2010,75.0,12.7,3.55,5.5
1329,Japan,2000,81.1,14.5,7.97,22.2
1328,Japan,2001,81.5,14.6,8.03,22.5
1327,Japan,2002,81.8,14.7,7.87,22.9
1326,Japan,2003,81.9,14.8,7.83,23.4
1325,Japan,2004,82.1,14.8,7.7,23.8
1324,Japan,2005,82.0,14.9,7.99,24.4
1323,Japan,2006,82.4,14.9,7.49,24.9
1322,Japan,2007,82.6,15.0,7.29,25.4
1321,Japan,2008,82.7,15.0,7.11,25.9
1320,Japan,2009,83.0,15.0,7.09,26.4
1319,Japan,2010,83.0,15.1,6.9,26.9
1345,Jordan,2000,71.7,12.6,0.49,54.0
1344,Jordan,2001,71.9,12.7,0.55,54.8
1343,Jordan,2002,72.1,13.0,0.54,55.5
1342,Jordan,2003,72.3,13.2,0.54,56.3
1341,Jordan,2004,72.5,13.5,0.54,57.0
1340,Jordan,2005,72.4,13.8,0.55,57.8
1339,Jordan,2006,72.8,13.7,0.59,58.6
1338,Jordan,2007,73.0,13.6,0.6,59.3
1337,Jordan,2008,73.1,13.6,0.61,6.1
1336,Jordan,2009,73.3,13.6,0.59,6.9
1335,Jordan,2010,73.4,13.2,0.51,61.7
1361,Kazakhstan,2000,63.9,12.1,6.0,43.9
1360,Kazakhstan,2001,64.4,12.3,5.75,44.4
1359,Kazakhstan,2002,64.7,12.7,5.99,44.8
1358,Kazakhstan,2003,64.4,13.1,6.58,45.3
1357,Kazakhstan,2004,64.7,13.5,6.55,45.8
1356,Kazakhstan,2005,64.6,13.9,6.94,46.3
1355,Kazakhstan,2006,65.0,14.3,7.08,46.8
1354,Kazakhstan,2007,65.3,14.7,7.44,47.3
1353,Kazakhstan,2008,66.6,14.6,7.6,47.9
1352,Kazakhstan,2009,67.8,14.6,6.64,48.5
1351,Kazakhstan,2010,67.8,14.5,6.83,49.2
1377,Kenya,2000,51.9,8.4,1.51,14.4
1376,Kenya,2001,51.9,8.4,1.63,14.7
1375,Kenya,2002,52.1,8.5,1.66,15.1
1374,Kenya,2003,52.4,8.2,1.49,15.5
1373,Kenya,2004,53.0,8.9,1.43,15.9
1372,Kenya,2005,54.1,9.6,1.82,16.4
1371,Kenya,2006,55.3,9.7,1.76,16.9
1370,Kenya,2007,56.8,10.1,1.97,17.3
1369,Kenya,2008,57.9,10.4,1.71,17.9
1368,Kenya,2009,59.1,10.7,1.86,18.4
1367,Kenya,2010,63.0,11.1,1.73,18.9
1393,Kiribati,2000,64.1,10.0,0.46,67.9
1392,Kiribati,2001,64.3,10.4,0.6,68.8
1391,Kiribati,2002,64.6,11.7,0.49,69.7
1390,Kiribati,2003,64.7,11.6,0.5,7.6
1389,Kiribati,2004,64.8,12.4,0.48,71.4
1388,Kiribati,2005,64.9,12.2,0.6,72.1
1387,Kiribati,2006,65.0,12.1,0.76,72.8
1386,Kiribati,2007,65.0,11.8,0.68,73.4
1385,Kiribati,2008,65.1,11.6,0.46,74.1
1384,Kiribati,2009,65.2,11.9,0.54,74.6
1383,Kiribati,2010,65.3,11.9,0.48,75.2
1409,Kuwait,2000,73.2,14.1,0.01,64.0
1408,Kuwait,2001,73.2,14.0,0.01,64.5
1407,Kuwait,2002,73.3,13.9,0.01,65.0
1406,Kuwait,2003,73.4,14.1,0.03,65.5
1405,Kuwait,2004,73.5,14.4,0.02,65.9
1404,Kuwait,2005,73.6,14.2,0.01,66.3
1403,Kuwait,2006,73.6,14.1,0.01,66.7
1402,Kuwait,2007,73.7,13.9,0.03,67.1
1401,Kuwait,2008,73.8,13.8,0.03,67.5
1400,Kuwait,2009,73.9,13.6,0.1,67.9
1399,Kuwait,2010,74.0,13.5,0.01,68.4
1425,Kyrgyz Republic,2000,66.6,11.4,2.13,35.6
1424,Kyrgyz Republic,2001,67.2,11.8,2.62,36.0
1423,Kyrgyz Republic,2002,66.7,12.1,3.31,36.5
1422,Kyrgyz Republic,2003,66.6,12.2,3.52,37.0
1421,Kyrgyz Republic,2004,67.1,12.5,3.41,37.5
1420,Kyrgyz Republic,2005,66.9,12.4,2.81,38.0
1419,Kyrgyz Republic,2006,66.7,12.5,2.48,38.5
1418,Kyrgyz Republic,2007,67.2,12.6,2.77,39.0
1417,Kyrgyz Republic,2008,67.6,12.6,2.53,39.5
1416,Kyrgyz Republic,2009,68.5,12.4,2.39,4.1
1415,Kyrgyz Republic,2010,68.8,12.2,2.73,4.7
1441,Lao,2000,58.1,8.0,5.16,12.3
1440,Lao,2001,58.7,8.0,3.13,12.7
1439,Lao,2002,59.3,8.0,3.33,13.3
1438,Lao,2003,59.8,8.3,3.41,13.8
1437,Lao,2004,64.0,8.6,3.53,14.4
1436,Lao,2005,61.0,8.7,3.68,14.9
1435,Lao,2006,61.5,9.0,3.69,15.5
1434,Lao,2007,62.1,9.0,5.0,16.1
1433,Lao,2008,62.6,9.2,5.1,16.7
1432,Lao,2009,63.1,9.4,5.18,17.3
1431,Lao,2010,63.6,9.6,5.95,18.0
1457,Latvia,2000,71.0,13.7,7.13,55.4
1456,Latvia,2001,69.9,14.2,6.68,55.7
1455,Latvia,2002,73.0,14.8,7.44,56.0
1454,Latvia,2003,78.0,15.2,8.24,56.3
1453,Latvia,2004,71.0,15.5,8.81,56.6
1452,Latvia,2005,76.0,15.9,9.92,57.0
1451,Latvia,2006,75.0,16.2,10.4,57.4
1450,Latvia,2007,78.0,16.2,12.12,57.7
1449,Latvia,2008,71.9,16.3,11.84,58.1
1448,Latvia,2009,72.6,16.4,9.85,58.5
1447,Latvia,2010,72.8,16.0,9.8,58.9
1473,Lebanon,2000,72.7,14.9,2.26,57.9
1472,Lebanon,2001,73.0,15.0,2.19,58.6
1471,Lebanon,2002,73.2,15.2,1.98,59.1
1470,Lebanon,2003,73.5,14.8,2.19,59.7
1469,Lebanon,2004,73.7,14.2,2.1,6.2
1468,Lebanon,2005,73.9,13.7,1.94,6.8
1467,Lebanon,2006,74.1,13.2,1.82,61.4
1466,Lebanon,2007,74.4,12.9,1.72,61.9
1465,Lebanon,2008,74.5,13.1,1.67,62.5
1464,Lebanon,2009,74.7,13.2,1.62,63.0
1463,Lebanon,2010,74.9,13.3,1.58,63.5
1489,Lesotho,2000,49.3,9.6,3.1,24.9
1488,Lesotho,2001,47.8,10.3,2.86,25.4
1487,Lesotho,2002,46.4,10.4,2.95,25.9
1486,Lesotho,2003,45.5,10.5,1.99,26.4
1485,Lesotho,2004,44.8,10.7,1.8,26.9
1484,Lesotho,2005,44.5,10.7,2.67,27.4
1483,Lesotho,2006,45.3,10.7,2.61,27.9
1482,Lesotho,2007,46.2,10.6,2.69,28.3
1481,Lesotho,2008,47.8,10.7,2.75,28.8
1480,Lesotho,2009,49.4,10.8,2.75,29.2
1479,Lesotho,2010,51.1,10.9,2.71,29.7
1505,Liberia,2000,51.9,8.7,4.46,2.2
1504,Liberia,2001,51.5,10.5,4.4,2.4
1503,Liberia,2002,56.0,10.4,4.27,2.7
1502,Liberia,2003,50.0,10.3,4.21,21.1
1501,Liberia,2004,54.0,10.2,4.24,21.5
1500,Liberia,2005,55.3,10.1,4.19,22.0
1499,Liberia,2006,56.7,10.0,4.05,22.4
